year,total_papers,lexical_social,semantic_top10,combined_social,mean_social_similarity,lexical_pct,combined_pct
2022,4,0,0,0,0.17814842,0.0,0.0
2023,177,18,25,39,0.2917431,10.16949152542373,22.033898305084744
2024,656,59,103,143,0.306551,8.99390243902439,21.798780487804876
2025,1615,157,170,287,0.29449677,9.721362229102168,17.770897832817337
2026,2261,236,174,347,0.28707567,10.437859354268022,15.34719150818222
